record_id,title,included_in_validated_candidate_corpus,exclusion_reason,description_segments_total,narrative_segments,materials_segments,ambiguous_segments,has_narrative_document,has_materials_document,baseline_description_words
/2020601/https___1914_1918_europeana_eu_contributions_10433,"FRAD043_064 La guerre de Jean Jouvenel, maréchal-ferrant | Documents from Jean Jouvenel",True,,2,1,1,0,True,True,217
/2020601/https___1914_1918_europeana_eu_contributions_10434,AMSM-009_1 : Le journal de route de mon grand-père | The Journal of Onesime Maupiller,True,,2,1,1,1,True,True,244
/2020601/https___1914_1918_europeana_eu_contributions_10437,FRAM - Henri MESSEILLER | Henri MESSEILLER,True,,2,1,1,0,True,True,127
/2020601/https___1914_1918_europeana_eu_contributions_10447,FRAM - Albert et Charles Rauch | Documents from Albert and Charles Rauch,True,,2,0,2,0,False,True,380
/2020601/https___1914_1918_europeana_eu_contributions_10458,FRBNBU-031 Vincent Burkarth et sa guerre | Vincent Burkarth's war,True,,2,1,1,0,True,True,85
/2020601/https___1914_1918_europeana_eu_contributions_10459,"AMSM-017_1 : Mon grand-père, ce hussard. | Barthélémy Rey's Picture And Letters From The Front",True,,2,2,0,2,True,False,210
/2020601/https___1914_1918_europeana_eu_contributions_10476,"FRAD071-003, Jacques SAUVAGEOT, parcours d'un soldat. | Documents from Jacques Sauvageot",True,,2,1,1,0,True,True,103
/2020601/https___1914_1918_europeana_eu_contributions_10482,"FRAM - Odon de Viguerie, sous-officier au 18e régiment d'artillerie, blessé en 1915 et 1916 | Odon de Viguerie",True,,1,1,0,0,True,False,193
/2020601/https___1914_1918_europeana_eu_contributions_10490,AMSM-021_1 : Le retour d'Orient de mon grand-père | Eugène Fresia's return from the Orient,True,,2,2,0,1,True,False,398
/2020601/https___1914_1918_europeana_eu_contributions_10500,Des Poilus du Valdonnez | Documents belonging to Antoine Jean Francois Mejean,True,,2,1,1,0,True,True,92
/2020601/https___1914_1918_europeana_eu_contributions_10507,FRAD033-126 Histoire de Marcel Geneste | Documents from Marcel Geneste,True,,2,1,1,0,True,True,108
/2020601/https___1914_1918_europeana_eu_contributions_10515,"FRAD033-079 Histoire de Pierre, Louis Mercé | Documents from Pierre Louis Mercé",True,,2,1,1,0,True,True,111
/2020601/https___1914_1918_europeana_eu_contributions_10520,FRAD033-074 Histoire de Georges Coignet | Documents from Georges Coignet,True,,2,1,1,0,True,True,113
/2020601/https___1914_1918_europeana_eu_contributions_10524,"FRAD033-070 Histoire de René, Jean Dutruch | Documents from René Jean Dutruch",True,,2,1,1,0,True,True,133
/2020601/https___1914_1918_europeana_eu_contributions_10544,AMSM-013_1 : Une enfance marquante | Letters and Picture Belonging to Joseph Pierre Antoine Eynard,True,,2,1,1,0,True,True,319
/2020601/https___1914_1918_europeana_eu_contributions_10560,Mes Souvenirs pendant mon Emigrage | Memorial diary of the relocation from Troissy (Bouquigny) Marne to Maizières la Grande Paroisse dans l'Aube,True,,2,1,1,0,True,True,148
/2020601/https___1914_1918_europeana_eu_contributions_10591,"Pascal PISTON - Départ pour l'Italie en 1917, en passant par la Meuse | Pascal Piston's Letters, Pictures, and Maps from Italy",True,,2,0,2,0,False,True,91
/2020601/https___1914_1918_europeana_eu_contributions_10609,Livret militaire Auguste Ruckebusch | military pass book of Auguste Ruckebusch,True,,2,1,1,0,True,True,135
/2020601/https___1914_1918_europeana_eu_contributions_10614,"FRAD067-206 Quelques bribes du parcours de Victor Heymes (La Wantzenau, Bas-Rhin, 1889-1979) (armée allemande) | Postcards from Victor Heymes",True,,2,1,1,1,True,True,241
/2020601/https___1914_1918_europeana_eu_contributions_10616,"FRAD067-208 Le ""petit gas"" René Rodier demande pardon à son père (1915) | The little René apologizes to his father",True,,2,0,2,0,False,True,133
/2020601/https___1914_1918_europeana_eu_contributions_10618,"FRAD067-114 Papiers militaires d'Anton Steyer, né à Lemberg (Moselle) en 1875 (armée allemande) | Miltary documents, postcards, photographs and prayer book from Anton Steyer",True,,2,1,1,0,True,True,290
/2020601/https___1914_1918_europeana_eu_contributions_10633,Mon grand-père paternel poilu de 14-18 | Charles Georges Richard Pauquet's Pictures from the War,True,,2,1,1,0,True,True,378
/2020601/https___1914_1918_europeana_eu_contributions_10654,FRAN-PI-38 Histoire du volontaire Marcel Jean Eugène Migot | Marcel Migot' story,True,,2,0,2,1,False,True,257
/2020601/https___1914_1918_europeana_eu_contributions_10668,FRAD071-022 Justin et Claudien GONNET. | Document from Justin and Claudien Gonnet.,True,,1,1,0,0,True,False,139
/2020601/https___1914_1918_europeana_eu_contributions_10675,"FRAD062_019 - Jules Level, 1914. | FRAD062_019 - Jules Level, 1914.",True,,2,1,1,0,True,True,116
/2020601/https___1914_1918_europeana_eu_contributions_10680,FRAM - Jean-Baptiste LE FLEM | Jean-Baptiste LE FLEM,True,,1,1,0,0,True,False,43
/2020601/https___1914_1918_europeana_eu_contributions_10683,"FRAM - Xavier Cambon, un observateur photographe | Documents from Xavier Cambon",True,,2,1,1,0,True,True,192
/2020601/https___1914_1918_europeana_eu_contributions_10686,"Sammlung von Feldpostkarten, Fotos und Dokumenten verschiedener Personen | Collection of Fieldpost, photos and documents of different persons",True,,2,0,2,0,False,True,164
