record_id,title,included_in_final_corpus,reason,story_words,materials_words
/2020601/https___1914_1918_europeana_eu_contributions_10366,Mémoires d'un prisonnier : Abel Lugez : 1914-1919 | Memories of a prisoner of war,True,Meets minimum narrative length,374,32
/2020601/https___1914_1918_europeana_eu_contributions_10369,FRBNBU-147 Louis Guignard prisonnier | Louis Guignard prisoner of war,True,Meets minimum narrative length,44,3
/2020601/https___1914_1918_europeana_eu_contributions_10370,"FRAM - Alain Kerriou, un soldat finistérien | Documents from Alain Kerriou",False,Main story has fewer than 40 words,32,19
/2020601/https___1914_1918_europeana_eu_contributions_1038,Fotografien von Wilhelm Ostertag | photos - Wilhelm Ostertag,True,Meets minimum narrative length,66,0
/2020601/https___1914_1918_europeana_eu_contributions_10384,FRAD087_064-Histoire de François Jandaud | Story of François Jandaud,True,Meets minimum narrative length,68,16
/2020601/https___1914_1918_europeana_eu_contributions_10390,"FRAD087_062-""Notes de voyage"" de Martial Daigueperse | Diary and documents from Martial Daigueperse",True,Meets minimum narrative length,182,26
/2020601/https___1914_1918_europeana_eu_contributions_10398,FRAD087_038-Histoire de Georges Philippon | Documents about Georges Philippon,True,Meets minimum narrative length,191,23
/2020601/https___1914_1918_europeana_eu_contributions_10425,"FRAD077-139, Ernest Hylaire, correspondance avec sa plus jeune fille pendant la guerre. | Ernest Hylaire, letters to his younger daughter during the war.",True,Meets minimum narrative length,109,97
/2020601/https___1914_1918_europeana_eu_contributions_10426,"FRBNBU-148 Photos souvenirs de guerre | Jean Pastour, cooker",True,Meets minimum narrative length,55,37
/2020601/https___1914_1918_europeana_eu_contributions_10430,"Brief van Omer De Backer aan zijn vader, geschreven aan het front in Pervijze (12/11/1914) | Letter from Omer De Backer to his father, written from the front in Pervijze (12/11/1914)",True,Meets minimum narrative length,215,36
/2020601/https___1914_1918_europeana_eu_contributions_10433,"FRAD043_064 La guerre de Jean Jouvenel, maréchal-ferrant | Documents from Jean Jouvenel",True,Meets minimum narrative length,190,27
/2020601/https___1914_1918_europeana_eu_contributions_10434,AMSM-009_1 : Le journal de route de mon grand-père | The Journal of Onesime Maupiller,True,Meets minimum narrative length,243,1
/2020601/https___1914_1918_europeana_eu_contributions_10437,FRAM - Henri MESSEILLER | Henri MESSEILLER,True,Meets minimum narrative length,94,33
/2020601/https___1914_1918_europeana_eu_contributions_10447,FRAM - Albert et Charles Rauch | Documents from Albert and Charles Rauch,True,Meets minimum narrative length,355,25
/2020601/https___1914_1918_europeana_eu_contributions_10458,FRBNBU-031 Vincent Burkarth et sa guerre | Vincent Burkarth's war,True,Meets minimum narrative length,71,14
/2020601/https___1914_1918_europeana_eu_contributions_10459,"AMSM-017_1 : Mon grand-père, ce hussard. | Barthélémy Rey's Picture And Letters From The Front",True,Meets minimum narrative length,206,4
/2020601/https___1914_1918_europeana_eu_contributions_10476,"FRAD071-003, Jacques SAUVAGEOT, parcours d'un soldat. | Documents from Jacques Sauvageot",True,Meets minimum narrative length,92,11
/2020601/https___1914_1918_europeana_eu_contributions_10482,"FRAM - Odon de Viguerie, sous-officier au 18e régiment d'artillerie, blessé en 1915 et 1916 | Odon de Viguerie",True,Meets minimum narrative length,193,0
/2020601/https___1914_1918_europeana_eu_contributions_10490,AMSM-021_1 : Le retour d'Orient de mon grand-père | Eugène Fresia's return from the Orient,True,Meets minimum narrative length,397,1
/2020601/https___1914_1918_europeana_eu_contributions_10496,FRAD033-091 Histoire de Pierre Laluque | Documents from Pierre Laluque,False,Main story has fewer than 40 words,38,38
/2020601/https___1914_1918_europeana_eu_contributions_10500,Des Poilus du Valdonnez | Documents belonging to Antoine Jean Francois Mejean,True,Meets minimum narrative length,84,8
/2020601/https___1914_1918_europeana_eu_contributions_10507,FRAD033-126 Histoire de Marcel Geneste | Documents from Marcel Geneste,True,Meets minimum narrative length,70,38
/2020601/https___1914_1918_europeana_eu_contributions_10515,"FRAD033-079 Histoire de Pierre, Louis Mercé | Documents from Pierre Louis Mercé",True,Meets minimum narrative length,83,28
/2020601/https___1914_1918_europeana_eu_contributions_10520,FRAD033-074 Histoire de Georges Coignet | Documents from Georges Coignet,True,Meets minimum narrative length,98,15
/2020601/https___1914_1918_europeana_eu_contributions_10524,"FRAD033-070 Histoire de René, Jean Dutruch | Documents from René Jean Dutruch",True,Meets minimum narrative length,81,52
/2020601/https___1914_1918_europeana_eu_contributions_10544,AMSM-013_1 : Une enfance marquante | Letters and Picture Belonging to Joseph Pierre Antoine Eynard,True,Meets minimum narrative length,308,11
/2020601/https___1914_1918_europeana_eu_contributions_10560,Mes Souvenirs pendant mon Emigrage | Memorial diary of the relocation from Troissy (Bouquigny) Marne to Maizières la Grande Paroisse dans l'Aube,True,Meets minimum narrative length,129,19
